pse_pssm0,pse_pssm1,pse_pssm2,pse_pssm3,pse_pssm4,pse_pssm5,pse_pssm6,pse_pssm7,pse_pssm8,pse_pssm9,pse_pssm10,pse_pssm11,pse_pssm12,pse_pssm13,pse_pssm14,pse_pssm15,pse_pssm16,pse_pssm17,pse_pssm18,pse_pssm19,pse_pssm20,pse_pssm21,pse_pssm22,pse_pssm23,pse_pssm24,pse_pssm25,pse_pssm26,pse_pssm27,pse_pssm28,pse_pssm29,pse_pssm30,pse_pssm31,pse_pssm32,pse_pssm33,pse_pssm34,pse_pssm35,pse_pssm36,pse_pssm37,pse_pssm38,pse_pssm39
0.203856591,0.028776132,0.252453791,0.100024579,-0.73780977,0.273986019,0.221805692,-0.091191465,-0.046941417,-0.101629565,-0.211126086,0.216332091,-0.040977389,-0.277032955,-0.286163823,0.48178337,0.478323606,-0.515350679,0.029659818,0.021221462,1.062870736,1.467132068,1.833411963,2.153873026,1.538557394,1.233746127,1.625130207,2.848937515,1.51590743,2.200628966,1.750327946,1.506244437,1.449864224,2.728232688,2.361146125,1.244996575,1.222621349,3.352007287,2.869048368,1.65518817
0.547554776,0.108006261,-0.058641004,-0.134405055,-0.156547462,0.071434597,0.041391035,-0.171103488,0.144123132,0.038243758,0.091788074,-0.046874836,0.058560268,-0.159390176,-0.287554778,0.206053299,0.20370113,-0.434377172,-0.13985586,0.077893501,1.392857867,2.100734936,1.603499361,2.139878097,1.475567338,1.094416678,1.752841208,3.136061343,1.595196012,3.005406145,2.446249717,1.523098511,1.674848819,1.950949794,2.13946652,1.130128536,1.098937237,2.010664853,1.581084084,2.237585219
0.143197238,0.370449322,0.035483607,0.083707492,-0.442678229,0.200713735,0.503237882,-0.404943445,0.070737195,0.002860503,-0.021823549,0.40648254,-0.061168895,-0.18154964,-0.393331042,0.125482889,0.219833328,-0.552442687,-0.12733777,0.023089526,0.692421617,1.840009169,1.375577071,2.735144654,1.671697243,1.161579498,2.914280891,2.280490497,1.472022518,2.434000916,2.411877118,1.726702147,1.661878664,2.31858908,1.76221451,0.823264748,0.934966648,2.887909205,1.550706872,1.686945014
0.146511729,0.082195869,0.231069904,-0.027081723,-0.272939326,0.260108549,-0.125367709,-0.246687965,0.072833202,-0.049013191,-0.203149369,0.169903297,-0.008601139,-0.062520427,-0.091145791,0.309501224,0.286896268,-0.478934304,0.090572411,-0.08415151,0.685391328,1.100376444,1.423580966,1.742290418,3.122378431,1.144546691,1.034820757,1.660206501,1.532756466,1.677897968,1.84246039,1.037503876,1.344028691,1.899008832,2.251389716,0.845094105,0.802585586,3.48715165,1.533593003,1.226343239
0.69979743,-0.174740288,0.214054394,0.115153685,-0.698343735,0.187418567,-0.042305553,0.2118512,-0.377710295,-0.021831273,0.027935902,-0.059668035,-0.054125924,-0.322082217,0.202239346,0.559849122,0.581780518,-0.942358471,-0.24570911,0.138794738,1.249751174,1.316714443,1.731198218,1.980787074,1.482879777,1.189392925,1.015550672,2.803378156,1.28618309,1.851432216,2.049701822,1.018216269,1.232491807,2.10784769,3.325554434,1.087359174,1.081959585,1.998393179,1.753586837,1.443458622
0.189350329,0.215197851,-0.138245165,-0.313912914,-0.634821091,-0.103720976,-0.189116675,-0.265931413,-0.101195465,0.425224654,0.397657814,-0.091765868,0.205201904,0.304392165,-0.392713075,0.136578513,0.103021939,-0.179937223,0.177430193,0.257304504,0.746872116,2.149142526,1.154283642,1.706057911,0.922425987,0.976629017,1.272632597,2.101696068,0.920031294,2.224102574,1.853255286,1.427270597,1.3692729,2.033551414,2.145654276,0.957889661,0.869116401,2.666336227,1.513290358,1.624845479
0.487956423,-0.236496902,0.365963776,-0.063534548,-0.572230004,0.144630606,-0.218968936,0.058457843,-0.088334919,-0.148496485,-0.07369861,-0.178257033,-0.089906996,0.059281537,-0.02817607,0.381136193,0.446848,-0.420762712,0.184112352,-0.009523516,1.032843477,1.106793588,1.969646049,2.014378461,1.941877052,0.929935778,0.908323646,1.925541794,1.175915887,1.845444938,1.856797856,0.930534886,1.189008023,2.546065263,2.003353974,0.904382338,1.040282933,2.345383218,1.886815338,1.418985886
0.944564689,-0.221255602,-0.012841724,-0.385347565,-0.11710646,0.083947323,-0.07746255,0.100160976,-0.338322358,0.072466735,0.001917252,0.022549266,0.374695793,-0.49552474,-0.271846287,0.532811194,0.511161052,-0.846028529,-0.307710792,0.429172324,2.445364614,1.046321324,2.096733034,1.619011105,1.066068118,0.548104218,0.916552006,3.85239156,0.74002854,2.751197944,2.088501045,0.989616804,1.920231978,1.187733661,1.063828778,1.345411439,1.121886996,0.371339453,0.518113086,2.367956853
0.417826361,0.152439628,0.268188006,0.114449331,-1.241891236,0.462369113,0.144328494,0.057644662,-0.357480119,0.095283646,-0.006028724,0.105547012,0.090183841,-0.283687293,0.015191425,0.455779981,0.484704979,-0.862374938,-0.296354826,0.183880656,0.864844664,1.398218634,1.345714304,1.768096627,0.972994126,1.110588272,1.2667735,1.789689664,0.887498754,2.158054027,1.997144968,1.052155463,1.037341263,1.545140783,1.870517359,0.868334613,0.94693452,2.211356158,1.010705513,1.743762629
0.624850354,0.313607867,-0.356505767,0.05971791,-0.139993525,-0.078676113,-0.004090819,0.021063769,0.406720426,-0.169337525,0.003568258,-0.464398089,0.222785205,-0.314372347,-0.10338936,-0.056166742,0.1414621,0.05663445,-0.247831079,0.084351027,1.222351603,2.002438381,1.282192574,2.542613696,1.529233822,0.872446866,1.715741022,2.304321237,1.697934903,1.913124883,2.153205222,1.003690412,1.46981116,1.696939805,2.158183015,0.879068455,0.924156428,3.036133126,1.280179047,1.838377789
