FPR,TPR
0.0,0.0
0.01,0.141
0.02,0.247
0.03,0.383
0.04,0.421
0.051,0.426
0.061,0.462
0.071,0.474
0.081,0.518
0.091,0.554
0.101,0.562
0.111,0.573
0.121,0.581
0.131,0.611
0.141,0.616
0.152,0.623
0.162,0.652
0.172,0.657
0.182,0.676
0.192,0.681
0.202,0.704
0.212,0.719
0.222,0.756
0.232,0.779
0.242,0.789
0.253,0.817
0.263,0.824
0.273,0.843
0.283,0.846
0.293,0.853
0.303,0.853
0.313,0.861
0.323,0.881
0.333,0.884
0.343,0.894
0.354,0.896
0.364,0.901
0.374,0.903
0.384,0.906
0.394,0.914
0.404,0.921
0.414,0.926
0.424,0.936
0.434,0.939
0.444,0.939
0.455,0.941
0.465,0.946
0.475,0.948
0.485,0.953
0.495,0.953
0.505,0.956
0.515,0.959
0.525,0.959
0.535,0.963
0.545,0.968
0.556,0.97
0.566,0.97
0.576,0.975
0.586,0.975
0.596,0.978
0.606,0.978
0.616,0.983
0.626,0.985
0.636,0.985
0.646,0.99
0.657,0.993
0.667,0.993
0.677,0.993
0.687,0.993
0.697,0.993
0.707,0.993
0.717,0.995
0.727,0.995
0.737,0.995
0.747,0.995
0.758,0.995
0.768,0.997
0.778,0.997
0.788,0.997
0.798,0.997
0.808,0.997
0.818,1.0
0.828,1.0
0.838,1.0
0.848,1.0
0.859,1.0
0.869,1.0
0.879,1.0
0.889,1.0
0.899,1.0
0.909,1.0
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
