FPR,TPR
0.0,0.0
0.01,0.238
0.02,0.398
0.03,0.474
0.04,0.57
0.051,0.589
0.061,0.613
0.071,0.699
0.081,0.759
0.091,0.782
0.101,0.797
0.111,0.816
0.121,0.83
0.131,0.838
0.141,0.845
0.152,0.847
0.162,0.85
0.172,0.86
0.182,0.887
0.192,0.891
0.202,0.904
0.212,0.915
0.222,0.924
0.232,0.93
0.242,0.937
0.253,0.941
0.263,0.942
0.273,0.943
0.283,0.944
0.293,0.947
0.303,0.949
0.313,0.951
0.323,0.951
0.333,0.952
0.343,0.953
0.354,0.954
0.364,0.954
0.374,0.954
0.384,0.954
0.394,0.954
0.404,0.954
0.414,0.956
0.424,0.959
0.434,0.959
0.444,0.961
0.455,0.961
0.465,0.961
0.475,0.961
0.485,0.964
0.495,0.966
0.505,0.969
0.515,0.974
0.525,0.976
0.535,0.978
0.545,0.978
0.556,0.978
0.566,0.978
0.576,0.978
0.586,0.981
0.596,0.988
0.606,0.988
0.616,0.988
0.626,0.988
0.636,0.988
0.646,0.988
0.657,0.988
0.667,0.99
0.677,0.99
0.687,0.99
0.697,0.99
0.707,0.993
0.717,0.993
0.727,0.993
0.737,0.995
0.747,0.995
0.758,0.995
0.768,0.995
0.778,0.995
0.788,0.995
0.798,0.995
0.808,0.995
0.818,0.995
0.828,0.995
0.838,0.997
0.848,0.997
0.859,0.997
0.869,0.997
0.879,1.0
0.889,1.0
0.899,1.0
0.909,1.0
0.919,1.0
0.929,1.0
0.939,1.0
0.949,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
